"i","Seed","R12","R15","R12R15","R12R23","R12R25","R15R52","R12R25R23","R15R52R23","R12R15R54","R15R52R54","R12R15R23R34","R12R15R23R54","R12R25R23R34","R12R25R23R54","R15R52R23R54","R15R54","R12R23R34","R12R25R54","R15R52R23R34"
36,0.007549015759279773,0.007879792879810584,0.006118899688803383,0.005226523059722335,0.0043560903873320995,0.0035000666451944036,0.0017264564145279314,0.0024918188288605555,0.003184823884245214,0.0006930050553846585,0.13191437344000195,0.049822171990898986,0.04994632770197203,0.04994632770197203,0.0378372872319396,0.0378372872319396,0.012109040470032417,0.3822985720043818,0.1113608777045648,0.08209220144910298,0.012109040470032417
37,0.006590871451371187,0.00693634926580218,0.00535655492210481,0.00462811200593944,0.0038580522564848683,0.003106541294016192,0.0015215707119232483,0.002224582697958574,0.00283917046781743,0.0006145877698588558,0.13269835189896032,0.050081140453078175,0.05042405128460881,0.05042405128460881,0.03821106005626868,0.03821106005626868,0.012212991228340115,0.38321640695770226,0.11201429126266463,0.08261721144588215,0.012212991228340115
38,0.00575433776715869,0.006102730728019752,0.004687969488942344,0.0040943009155563195,0.0034137653872988146,0.002754386966152658,0.0013399139494036617,0.0019831010984464595,0.0025274303407419024,0.0005443292422954427,0.13339256869985122,0.05030937605986666,0.05084992685478143,0.05084992685478143,0.03854474746096247,0.03854474746096247,0.012305179393818944,0.3840198901960179,0.11259299910113736,0.08308319263998458,0.012305179393818944
39,0.005023979512096242,0.005366733875644681,0.004101873126298515,0.0036188588306254057,0.0030180288450755923,0.0024397864351692975,0.0011790723954561082,0.0017654380607389118,0.0022469620765509964,0.0004815240158120845,0.13400671383718468,0.050510363152277214,0.05122904140589272,0.05122904140589272,0.038842212625729435,0.038842212625729435,0.012386828780163261,0.38472308561935925,0.11310506390923218,0.08349635068490747,0.012386828780163261
40,0.004386320574022488,0.004717400419258568,0.0035882937359978744,0.003196008481305879,0.0026660266744800453,0.0021591711810384395,0.0010368373002674393,0.0015696920674087152,0.0019951893081363824,0.00042549724072766723,0.1345495426617785,0.05068722401159563,0.051566085717375365,0.051566085717375365,0.03910702833484027,0.03910702833484027,0.012459057382535074,0.385338366588304,0.11355776823599352,0.08386231865018287,0.012459057382535074
41,0.0038295952703965574,0.004144912302081924,0.0031384203988706473,0.002820425406054921,0.0023533250373044268,0.001909227686267719,0.0009111977197872016,0.001394023619487986,0.001769634485517411,0.000375610866029425,0.13502894393397438,0.05084274960663575,0.051865364113595824,0.051865364113595824,0.03934248214495158,0.03934248214495158,0.012522881968644223,0.3858766106487037,0.11395767223716553,0.08418619432733863,0.012522881968644223
42,0.0033435312553077635,0.003640490837894312,0.0027444779415198807,0.0024872279167627792,0.0020758622006344643,0.0016868970719615783,0.0008003308448012007,0.0012366748619768904,0.001567942297181528,0.0003312674352046376,0.1354520077448826,0.05097942926460383,0.052130809286423434,0.052130809286423434,0.03955158568787477,0.03955158568787477,0.012579223598548636,0.3863473737085343,0.1143106709927612,0.0844725784802788,0.012579223598548636
43,0.002919159980595624,0.0031963009752228703,0.0023996128145527817,0.002191960515631466,0.0018299334633179215,0.001489369772664939,0.000702590742966527,0.0010959827938126648,0.0013878948118160013,0.0002919120180033364,0.13582509193239703,0.05109947889132401,0.052366000631000664,0.052366000631000664,0.0397370869171713,0.0397370869171713,0.012628913713829333,0.3867590453997622,0.11462205032285637,0.08472561304107304,0.012628913713829333
44,0.002548651213827718,0.0028053613803624617,0.00209778981446101,0.0019305728328121133,0.0016121726706301565,0.0013140766225764712,0.0006164962102356418,0.0009703873617846318,0.001227420080109457,0.000257032718324825,0.13615388600974174,0.05120486750276899,0.052574184852773063,0.052574184852773063,0.0399014843362432,0.0399014843362432,0.012672700516529833,0.3871189873219451,0.11489654034235405,0.08494901850697278,0.012672700516529833
45,0.002225168559764969,0.002461460708827553,0.0018336990374584246,0.001699395708881341,0.0014195316064998021,0.0011586774515148883,0.0005407182573664527,0.0008584355334739854,0.0010845956520690362,0.00022616011859505065,0.13644347193466355,0.05129734193430433,0.05275829786478948,0.05275829786478948,0.0400470424405109,0.0400470424405109,0.012711255424278556,0.3874336557941142,0.11513836624294857,0.08514613000035925,0.012711255424278556
46,0.0019427433194871078,0.002159080193999941,0.0016026723706528071,0.0014951156809481696,0.001249258258036918,0.001021048060365416,0.0004740676205827536,0.0007587822626203965,0.0009576482149394161,0.0001988659523190194,0.13669838129099576,0.0513784496729093,0.052920987212599836,0.052920987212599836,0.04017580777053199,0.04017580777053199,0.012745179442067813,0.38770871064973295,0.11535129598392355,0.08531993161808649,0.012745179442067813
47,0.0016961643597060518,0.0018933225054049768,0.0014006087872417482,0.0013147488335544127,0.001098874708077684,0.0008992662564831945,0.00041548257707121823,0.0006701891012635296,0.0008449503394305499,0.0001747612381670201,0.136922648643138,0.051449559815996714,0.05306463444484075,0.05306463444484075,0.04028962510992505,0.04028962510992505,0.012775009334915667,0.38794911150533085,0.11553868472262908,0.0854730888271413,0.012775009334915667
48,0.0014808819602048992,0.0016598467030959935,0.0012239077052852462,0.0011556147348921711,0.0009661552189636363,0.0007915974740447246,0.00036401726084744657,0.0005915210755245945,0.0007450151355218501,0.00015349405999725543,0.13711986096817116,0.051511882202557396,0.05319137699575533,0.05319137699575533,0.04039015347511458,0.04039015347511458,0.01280122352064072,0.3881592028234171,0.11570351592884073,0.08560797876561378,0.01280122352064072
49,0.001292923865255816,0.0014548090277583235,0.0010694096844202992,0.0010153109858547897,0.0008491049169549268,0.0006964803775394613,0.0003188306083153285,0.0005217423243687523,0.0006564894609303897,0.0001347471365616373,0.137293203178405,0.05156648479168451,0.05330312926608361,0.05330312926608361,0.04047888163644327,0.04047888163644327,0.012824247629640309,0.3883427889792099,0.11584843921168528,0.0857267183867205,0.012824247629640309
50,0.0011288219900502702,0.0012748092093576831,0.0009343437644405159,0.0008916887559579871,0.0007459393647980693,0.0006125127439809986,0.00027917601197698853,0.00045991090122133254,0.0005781461924381283,0.00011823529121679575,0.1374454998262832,0.05161430938293181,0.05340160268522317,0.05340160268522317,0.04055714298509858,0.04055714298509858,0.012844459700124555,0.3885032004318729,0.11597580494922852,0.08583119044335141,0.012844459700124555
51,0.000985548429774659,0.0011168419432999119,0.0008162807886037955,0.0007828295592685397,0.0006550652143003783,0.0005384378370531581,0.00024439172221538157,0.00040517305489341115,0.0005088759596434424,0.00010370290475003116,0.1375792531396769,0.05165618578472836,0.05348832461408889,0.05348832461408889,0.04062612962028178,0.04062612962028178,0.012862194993807073,0.388643351996539,0.11608769585394822,0.08592306735494856,0.012862194993807073
52,0.0008604595906109522,0.0009782531664786576,0.0007130920989044748,0.0006870234292562277,0.0005750620564727771,0.0004731314208811932,0.00021389200837503458,0.0003567572369193936,0.00044767864941056907,0.00009092141249117543,0.13769667757356718,0.05169284454306067,0.0535646560080354,0.0535646560080354,0.04068690557851579,0.04068690557851579,0.012877750429519578,0.38876579411482953,0.11618595563609328,0.08600383303050653,0.012877750429519578
53,0.0007512474118026391,0.0008567007618032167,0.000622913037484524,0.0006027485789646437,0.0005046655298404821,0.0004155895095068576,0.00018715906945778604,0.00031396802523330386,0.0003936549146052543,0.00007968688937195039,0.13779973108795562,0.051724928344316926,0.053631807805446984,0.053631807805446984,0.0407404191640537,0.0407404191640537,0.012891388641393255,0.3888727579296652,0.1162722149445642,0.08607480274363871,0.012891388641393255
54,0.0006558967787661503,0.0007501193253224214,0.000544110735814495,0.0005286525779122954,0.00044275170451560283,0.0003649169079579755,0.0001637356699543199,0.00027618010736835114,0.00034599786013805037,0.00006981775276969922,0.13789014337480032,0.051753002204735596,0.05369085604263777,0.05369085604263777,0.040787514367838694,0.040787514367838694,0.012903341674799047,0.38896619488528783,0.11634791477404027,0.08613714117006474,0.012903341674799047
55,0.0005726483414612159,0.0006566886421659679,0.00047525571982341534,0.0004635350362225849,0.0003883227277858837,0.0003203165699335521,0.00014321846628903277,0.0002428324284804741,0.00030398503066583754,0.00006115260218536345,0.13796944126148716,0.051777562555228744,0.05374275572165848,0.05374275572165848,0.04082894138394395,0.04082894138394395,0.012913814337714501,0.38904781149566,0.11641432752971761,0.08619187870625844,0.012913814337714501
56,0.0004999660519680616,0.0005748055341019936,0.0004150969038385823,0.00040633175677550414,0.0003404936940018604,0.00028107977380680124,0.00012525198296870285,0.00021342257907064246,0.00026697078557207435,0.000053548206501431876,0.13803897151692054,0.0517990453251721,0.053788353476258356,0.053788353476258356,0.04086536624821602,0.04086536624821602,0.012922987228042306,0.38911909985363347,0.11647257593888549,0.08623992619174847,0.012922987228042306
