"i","Seed","R12","R15","R12R15","R12R23","R12R25","R15R52","R12R25R23","R12R15R23","R15R52R23","R12R15R54","R15R52R54","R12R15R23R34","R12R15R23R54","R12R25R23R34","R12R25R23R54","R15R52R23R54","R15R54","R12R23R34","R12R25R54","R15R52R23R34"
39,0.717915015389101,0.10219430772952988,0.11740275135999481,0.010454382922230861,0.009043845287777524,0.0061515349273861,0.004302847994844763,0.0007073007612690545,0.0009583896130363041,0.00025108885176724984,0.001460322370155937,0.00060398568919831,0.00009690724956646099,0.00009690724956646099,0.00007145525315050846,0.00007145525315050846,0.00002545199641595255,0.026044132643211124,0.0012661287812737732,0.0008563366809576276,0.00002545199641595255
40,0.7118403498742701,0.10376325240366908,0.11907256675813535,0.010873020373549154,0.00940408607162888,0.006399909595907075,0.0044731107776420816,0.0007540585716398623,0.0010216398863459907,0.00026758131470612864,0.0015648661993782455,0.0006470141691467576,0.00010649114569682402,0.00010649114569682402,0.000078528260763199,0.000078528260763199,0.000027962884933625047,0.027218160156811073,0.0013565672341515483,0.0009178520302314886,0.000027962884933625047
41,0.7058170853753342,0.1052905286251427,0.12069096782294117,0.011293947709474417,0.009766167565786745,0.0066497884599807,0.004644159249493721,0.0008023239017586968,0.001086919144058913,0.00028459524230021647,0.0016735964031137371,0.0006917452769231784,0.00011670754456028393,0.00011670754456028393,0.00008606884647959763,0.00008606884647959763,0.000030638698080686336,0.028408885824392424,0.001450608094867837,0.0009818511261905593,0.000030638698080686336
42,0.6998447869606198,0.10677682022211347,0.12225891159053692,0.011716888858228658,0.010129850749482678,0.006901010061831464,0.004815878796397197,0.0008520802579093822,0.0011542043916110626,0.0003021241337016807,0.0017865358802084813,0.0007381868694181157,0.00012757673600087305,0.00012757673600087305,0.0000940920854971846,0.0000940920854971846,0.0000334846505036885,0.029615795502621837,0.0015482697705257046,0.0010483490107903663,0.0000334846505036885
43,0.6939230233786453,0.1082228013719348,0.12377733969116457,0.012141576082610014,0.010494904004768534,0.007153417644977704,0.0049881584376323135,0.0009033098722252941,0.0012234709172349268,0.0003201610450096331,0.0019037047687907678,0.0007863456573820876,0.00013911877991698368,0.00013911877991698368,0.00010261288807627842,0.00010261288807627842,0.00003650589184070531,0.030838384618527205,0.0016495682780205314,0.001117359111408681,0.00003650589184070531
44,0.6880513670269799,0.10962913672789804,0.12524717858185122,0.012567749791992976,0.010861102944882066,0.00740685905154282,0.005160890740450158,0.0009559937763549052,0.001294692392652507,0.000338698616297602,0.0020251205296168678,0.0008362272417584108,0.00015135348908933296,0.00015135348908933296,0.00011164598679853136,0.00011164598679853136,0.000039707502290801635,0.03207615801543885,0.0017545173180682169,0.0011888932878584579,0.000039707502290801635
45,0.6822293939213669,0.11099648154438145,0.126669339775676,0.012995158358036444,0.011228230246106856,0.007661186621529338,0.005333971736507109,0.0010101118725684614,0.0013678409702423619,0.00035772909767390075,0.0021507980275367977,0.0008878361491629123,0.00016430041301585801,0.00016430041301585801,0.00012120592456208042,0.00012120592456208042,0.00004309448845377765,0.033328629801257365,0.0018631283475170376,0.0012629618783738862,0.00004309448845377765
46,0.6764566836651091,0.11232548180042021,0.12804472006768436,0.013423557934031854,0.011596075483060315,0.007916257094021002,0.005507300840010854,0.0010656430023784284,0.0014428873767813864,0.0003772443744029583,0.002280749611117162,0.0009411758665279834,0.00017797882271828163,0.00017797882271828163,0.00013130704328776502,0.00013130704328776502,0.00004667177943051666,0.03459532319901412,0.0019754106499781064,0.0013395737445891795,0.00004667177943051666
47,0.6707328194187121,0.113616774321717,0.1293742017574988,0.013852712277824813,0.011964434967344744,0.008171931510278755,0.0056807807675460596,0.0011225650127444993,0.0015198010038594523,0.00039723599111495336,0.0024149851904574807,0.000996248874928092,0.00019240769648609548,0.00019240769648609548,0.00014196347331154932,0.00014196347331154932,0.00005044422317454624,0.03587577039969096,0.0020913714048087094,0.0014187363155293896,0.00005044422317454624
48,0.6650573878697845,0.11487098690111253,0.1306586528686725,0.014282392578244828,0.012333111589497583,0.008428075118696964,0.005854317459547866,0.0011808548199321522,0.0015985499950625366,0.0004176951751303846,0.002553512313235729,0.0010530566826035526,0.00020760570652469002,0.00020760570652469002,0.00015318912343899432,0.00015318912343899432,0.00005441658308569578,0.03716951241726595,0.0022110157544821566,0.001500455630632177,0.00005441658308569578
49,0.659429979203194,0.11608873841753461,0.13189892736483316,0.014712377284978876,0.012701914664178186,0.008684557281586885,0.006027820003391993,0.0012404884710919858,0.001679101330017502,0.0004386128589255162,0.0026963362390181773,0.0011115998571990312,0.0002235912064753154,0.0002235912064753154,0.00016499767163831585,0.00016499767163831585,0.000058593534836999625,0.03847609894595267,0.0023343468703771325,0.0015847363818191466,0.000058593534836999625
50,0.6538501870714747,0.11727063895344489,0.13309586536266332,0.015142451941825641,0.013070659778529557,0.008941251383754864,0.006201200558070779,0.0013014412036253412,0.001761420905389307,0.00045997970176396585,0.002843460011867966,0.0011718780572329511,0.00024038221977549043,0.00024038221977549043,0.0001774025563492357,0.0001774025563492357,0.00006297966342625479,0.039795088219601,0.0024613660170189145,0.0016715819546350155,0.00006297966342625479
51,0.6483176085654853,0.1184172899108014,0.13425029334176208,0.0155724090232684,0.013439168643654622,0.009198034742843357,0.006374374280425045,0.0013636875024000406,0.001845473612919081,0.0004817861105190404,0.0029948845312862227,0.0012338900628136589,0.0002579964288293835,0.0002579964288293835,0.00019041696838548912,0.00019041696838548912,0.00006757946044389445,0.041126046873227635,0.00259207261480421,0.001760994468472564,0.00006757946044389445
52,0.6428318441853158,0.11952928412555545,0.1353630243514335,0.01600204777430557,0.01380726894914772,0.009454788521403377,0.006547259252902193,0.0014272011548784385,0.0019312234145892233,0.0005040222597107848,0.0031506086215189067,0.0012976338056179093,0.0002764511649585743,0.0002764511649585743,0.00020405384340948954,0.00020405384340948954,0.00007239732154908485,0.04246854980664526,0.0027264643012407564,0.0018529748159009977,0.00007239732154908485
53,0.63739249781144,0.12060720598070084,0.13643485821444565,0.016431174053479037,0.014174794220623035,0.009711397640667512,0.0067197764128115265,0.001491955304218379,0.002018633414999459,0.0005266781107810801,0.003310629099261962,0.0013631063981469312,0.00029576339910446654,0.00029576339910446654,0.00021832585495827392,0.00021832585495827392,0.0000774375441461927,0.043822180050159594,0.0028645369907322337,0.0019475227011150314,0.0000774375441461927
54,0.6319991766761125,0.12165163151789307,0.1374665817278039,0.016859600179041413,0.014541583680182822,0.009967750695993169,0.006891849483048245,0.0015579225004060926,0.0021076659310356083,0.0005497434306295161,0.0034749408397967527,0.0014303041622750466,0.0003159497332544611,0.0003159497332544611,0.0002332454080004577,0.0002332454080004577,0.0000827043252540035,0.04518652863230405,0.003006284932938464,0.0020446366775217066,0.0000827043252540035
55,0.626651491335007,0.12266312854765654,0.13845896886058132,0.017287144778204377,0.01490748210976924,0.010223739873946248,0.007063404904258129,0.001625074749478546,0.0021982825589107126,0.000573207809432167,0.003643536841587167,0.001499222657105529,0.00033702639256481717,0.00033702639256481717,0.0002488246330045186,0.0002488246330045186,0.00008820175956029865,0.046561194449582094,0.0031517007697402922,0.0021443141844816383,0.00008820175956029865
56,0.6213490556390954,0.12364225675819673,0.1394127809488486,0.01771363263941133,0.015272339717344702,0.01047926087099591,0.00723437176841542,0.0016933835608912706,0.0022904442386560845,0.0005970606777648143,0.0038164082893692108,0.0015698567061481104,0.0003590092181539243,0.0003590092181539243,0.0002650753804993041,0.0002650753804993041,0.00009393383765462032,0.047945784138187904,0.0033007755908379846,0.002246551583221101,0.00009393383765462032
57,0.6160914867067646,0.1245895678228348,0.14032876688774512,0.01813889456757851,0.015636012005846606,0.010734212813791626,0.007404681753786886,0.0017628199930862405,0.002384111316137835,0.0006212913230515951,0.003993544615763324,0.0016422004238322646,0.00038191366054048516,0.00038191366054048516,0.0002820092161082168,0.0002820092161082168,0.00009990444443226846,0.04933991194767639,0.0034534989880114315,0.00235134419193106,0.00009990444443226846
58,0.610878404896169,0.12550560550608159,0.14120766332073253,0.018562767242249773,0.015998359644863337,0.010988498180994202,0.007574269061255573,0.0018333546973129625,0.0024792436026724596,0.0006458889053594976,0.004174933561439109,0.0017162472413701335,0.0004057547737018635,0.0004057547737018635,0.00029963741603907917,0.00029963741603907917,0.00010611735766278441,0.05074319961655384,0.0036098591080698976,0.0024586863200689764,0.00010611735766278441
